week_ending,08/08/2020,08/15/2020,08/22/2020,08/29/2020,09/05/2020,09/12/2020,09/19/2020,09/26/2020,10/03/2020,10/10/2020,10/17/2020,10/24/2020,10/31/2020,11/07/2020,11/14/2020,11/21/2020,11/28/2020,12/05/2020,12/12/2020,12/19/2020,12/26/2020,01/02/2021,01/09/2021,01/16/2021,01/23/2021,01/30/2021,02/06/2021,02/13/2021,02/20/2021,02/27/2021,03/06/2021,03/13/2021,03/20/2021,03/27/2021,04/03/2021,04/10/2021,04/17/2021,04/24/2021,05/01/2021,05/08/2021,05/15/2021,05/22/2021,05/29/2021,06/05/2021,06/12/2021,06/19/2021,06/26/2021,07/03/2021,07/10/2021,07/17/2021,07/24/2021,07/31/2021,08/07/2021,08/14/2021,08/21/2021,08/28/2021,09/04/2021,09/11/2021,09/18/2021,09/25/2021,10/02/2021,10/09/2021,10/16/2021,10/23/2021,10/30/2021,11/06/2021,11/13/2021,11/20/2021,11/27/2021,12/04/2021,12/11/2021,12/18/2021,12/25/2021,01/01/2022,01/08/2022,01/15/2022,01/22/2022,01/29/2022,02/05/2022,02/12/2022,02/19/2022,02/26/2022,03/05/2022,03/12/2022,03/19/2022
11221,20.87,24.56,14.73,20.87,22.1,18.42,8.6,27.01,34.38,14.73,31.93,52.8,45.43,97,127.7,162.08,137.52,224.7,243.12,272.59,251.72,319.25,424.85,400.29,408.89,417.48,304.52,352.4,213.65,279.96,279.96,347.49,310.66,364.68,306.97,259.08,250.49,158.4,122.79,116.65,87.18,41.75,25.79,11.05,12.28,9.82,22.1,27.01,46.66,65.08,146.12,178.04,211.2,206.28,208.74,206.28,176.82,190.32,187.87,163.31,128.93,110.51,90.86,103.14,65.08,101.91,125.24,131.38,142.43,216.11,288.55,1511.53,2599.44,3111.46,2685.39,1224.2,572.2,260.31,132.61,105.6,65.08,46.66,46.66,79.81,69.99
11222,27.68,19.38,11.07,8.3,13.84,24.91,60.9,63.67,33.22,41.52,47.06,58.13,63.67,110.73,149.49,116.27,171.63,293.44,207.62,246.38,246.38,249.15,578.57,440.16,451.23,501.06,329.43,282.37,196.55,285.13,373.72,257.45,268.52,296.21,334.96,254.68,196.55,110.73,85.82,38.76,49.83,38.76,13.84,13.84,13.84,13.84,19.38,16.61,52.6,107.96,174.4,207.62,185.48,196.55,251.91,213.16,193.78,196.55,213.16,174.4,135.65,163.33,143.95,107.96,105.19,160.56,246.38,312.82,323.89,384.79,506.6,2555.13,3045.12,2926.08,2663.09,1040.88,708.68,351.57,276.83,171.63,110.73,132.88,107.96,116.27,221.46
11223,18.41,27,14.73,13.5,47.86,110.44,184.07,187.75,230.7,147.25,93.26,107.99,94.49,111.67,120.26,180.39,303.1,454.03,478.58,481.03,478.58,501.89,629.51,698.23,501.89,568.16,471.21,357.09,371.82,406.18,471.21,447.9,380.41,386.54,333.78,285.92,282.24,206.16,163.21,76.08,41.72,28.22,31.91,17.18,12.27,20.86,13.5,22.09,29.45,52.77,101.85,144.8,174.25,159.53,171.8,190.2,133.76,152.16,215.97,195.11,136.21,154.62,136.21,95.72,92.03,100.62,127.62,110.44,115.35,208.61,245.42,716.64,1765.83,2735.25,3486.25,1767.05,935.07,371.82,201.25,111.67,74.85,34.36,27,45.4,55.22
11224,10.81,19.45,17.29,19.45,28.1,17.29,19.45,15.13,41.06,95.09,54.03,54.03,84.29,101.58,127.51,170.73,194.51,270.15,352.27,354.44,397.66,460.33,769.38,678.61,689.42,674.29,574.88,538.14,408.46,443.04,499.23,477.62,510.04,518.69,397.66,319.86,283.12,231.25,153.44,121.03,79.96,54.03,51.87,41.06,30.26,17.29,10.81,36.74,38.9,95.09,166.41,159.93,229.09,166.41,177.22,114.54,114.54,151.28,183.7,218.28,118.87,136.15,138.32,118.87,79.96,114.54,108.06,149.12,190.18,283.12,311.21,713.19,2079.06,3114.27,3583.25,1865.11,1000.63,458.17,250.7,131.83,82.13,30.26,34.58,47.55,38.9
11225,8.69,22.6,12.17,19.13,15.65,22.6,26.08,31.3,52.16,20.86,43.47,55.64,45.21,93.89,90.41,133.88,104.32,165.18,175.61,177.35,208.65,306.01,309.49,269.5,328.62,333.83,246.9,274.72,212.12,276.46,248.64,198.21,220.82,208.65,224.29,239.94,193,137.36,128.67,69.55,33.04,50.42,22.6,15.65,15.65,39.99,17.39,26.08,29.56,46.95,85.2,109.54,163.44,119.97,140.84,153.01,142.57,109.54,130.4,107.8,121.71,126.93,126.93,62.59,69.55,78.24,107.8,99.11,104.32,146.05,229.51,1048.45,2091.68,2667.19,2192.52,1112.78,533.79,281.67,133.88,99.11,57.38,39.99,38.25,48.68,69.55
11226,10.27,23.62,17.46,22.6,11.3,13.35,21.57,21.57,32.87,26.71,42.11,31.84,55.47,72.93,100.66,118.12,127.37,196.19,218.79,217.76,224.95,282.47,369.78,426.27,364.64,365.67,324.59,329.72,285.55,311.23,208.52,241.38,246.52,274.25,261.93,239.33,200.3,153.05,146.88,80.12,64.71,43.14,25.68,20.54,21.57,17.46,15.41,27.73,18.49,65.74,83.2,128.4,169.48,147.91,172.56,147.91,125.31,97.58,144.83,110.93,85.25,100.66,71.9,56.49,50.33,74.98,89.36,96.55,80.12,137.64,208.52,936.78,2353.24,3197.57,2874.02,1259.31,553.64,254.74,132.5,76.01,57.52,40.06,26.71,51.36,68.82
11228,15.56,20.01,20.01,17.78,13.34,8.89,26.68,28.9,46.68,35.57,53.35,66.69,51.13,53.35,140.05,202.3,220.08,306.78,286.77,380.14,457.95,566.88,700.26,524.64,406.82,397.93,333.46,326.79,244.54,342.35,351.24,335.68,391.26,431.27,282.33,344.57,177.84,188.96,137.83,80.03,53.35,53.35,8.89,13.34,20.01,13.34,22.23,13.34,13.34,28.9,53.35,86.7,124.49,140.05,137.83,111.15,113.38,97.81,102.26,115.6,82.25,66.69,91.15,55.58,80.03,77.81,115.6,126.71,126.71,184.51,268.99,633.57,1516.13,2774.38,2985.57,1576.15,887,384.59,271.21,97.81,60.02,42.24,37.79,42.24,48.91
11229,21.55,25.14,19.15,31.13,34.72,44.29,71.83,114.93,126.9,118.52,108.94,71.83,68.24,123.31,155.63,154.43,210.7,439.36,411.82,493.23,501.61,529.14,685.97,593.79,548.3,539.92,499.21,436.96,415.41,460.9,483.65,424.99,372.31,410.62,341.19,289.71,215.49,202.32,136.48,74.22,57.46,44.29,35.91,20.35,9.58,9.58,15.56,20.35,33.52,52.67,98.17,148.45,159.22,179.57,171.19,129.29,149.64,154.43,193.94,160.42,140.07,149.64,143.66,92.18,108.94,101.76,124.5,117.32,156.83,202.32,278.94,660.83,1683.2,2845.63,3086.26,1655.66,840.4,387.88,196.33,86.2,71.83,41.9,28.73,39.51,39.51
11230,21.37,11.25,31.5,55.12,67.5,113.62,118.12,187.87,249.75,196.87,144,123.75,112.5,175.5,199.12,262.12,309.37,384.75,508.5,474.75,541.12,501.75,676.12,613.12,562.5,612,488.25,475.87,393.75,441,425.25,444.37,362.25,331.87,294.75,286.87,212.62,176.62,130.5,65.25,63,31.5,34.87,18,7.87,10.12,18,15.75,25.87,41.62,94.5,119.25,154.12,166.5,174.37,160.87,147.37,163.12,235.12,192.37,145.12,184.5,148.5,128.25,97.87,114.75,113.62,124.87,142.87,200.25,250.87,658.12,1860.74,2800.11,3019.49,1643.62,832.5,355.5,195.75,93.37,48.37,51.75,36,32.62,32.62
11231,16.05,21.4,2.68,18.73,16.05,13.38,10.7,18.73,24.08,21.4,10.7,34.78,40.13,37.46,77.59,133.77,165.88,235.44,195.31,179.26,189.96,165.88,331.76,262.2,251.49,280.92,195.31,219.39,214.04,270.22,152.5,141.8,203.34,235.44,206.01,181.93,139.12,125.75,115.05,56.18,24.08,26.75,16.05,5.35,18.73,5.35,10.7,2.68,66.89,48.16,58.86,115.05,85.61,128.42,163.2,149.83,109.69,128.42,93.64,149.83,112.37,131.1,107.02,77.59,82.94,101.67,107.02,160.53,168.55,165.88,313.03,1302.95,2201.91,2506.91,2394.54,992.6,690.27,390.62,160.53,168.55,96.32,109.69,74.91,133.77,214.04
11232,70.15,29.54,18.46,18.46,14.77,29.54,36.92,7.38,18.46,66.46,59.07,70.15,77.53,88.61,129.22,195.68,136.6,542.72,409.81,487.34,417.19,553.8,705.17,572.26,483.65,476.27,553.8,276.9,347.05,383.97,284.28,324.89,262.13,435.65,306.43,343.35,228.9,177.22,81.22,55.38,25.84,51.69,14.77,11.08,18.46,14.77,22.15,11.08,14.77,11.08,59.07,99.68,99.68,77.53,84.92,143.99,125.53,110.76,73.84,103.38,121.84,107.07,70.15,59.07,62.76,73.84,136.6,118.14,121.84,177.22,210.44,679.32,1727.85,3437.23,3684.6,2226.26,937.76,439.35,191.98,110.76,44.3,22.15,33.23,84.92,48
11233,17.49,13.45,9.42,12.11,12.11,13.45,13.45,32.29,33.64,17.49,22.87,40.36,52.47,61.89,96.87,111.67,125.13,203.17,191.06,165.49,201.82,254.29,365.97,279.86,308.11,372.7,259.68,273.13,201.82,274.48,266.4,266.4,270.44,302.73,312.15,259.68,261.02,161.46,145.31,122.44,80.73,74,25.56,24.22,14.8,16.15,16.15,20.18,36.33,45.75,87.46,149.35,184.33,234.11,231.42,188.37,173.57,137.24,161.46,143.97,106.29,129.17,90.15,94.18,44.4,74,110.33,110.33,90.15,157.42,256.99,1196.12,2596.76,3506.3,2853.74,1049.47,430.55,178.95,98.22,45.75,57.86,34.98,28.25,63.24,63.24
11234,25.52,15.95,20.2,23.39,39.34,26.58,37.21,57.41,75.49,58.48,51.03,59.54,59.54,93.56,122.27,142.47,195.63,253.04,275.37,327.46,358.3,327.46,455.05,462.49,396.57,355.11,291.32,259.42,243.47,270.05,268.99,291.32,299.82,308.33,244.53,282.81,208.39,145.66,105.26,87.18,52.1,39.34,27.64,17.01,9.57,12.76,14.88,21.26,25.52,76.55,112.7,158.42,171.17,187.12,161.61,171.17,157.35,155.23,167.98,142.47,108.45,116.95,101,70.17,79.74,87.18,105.26,96.75,85.06,174.36,226.46,705.96,1978.61,3157.69,2629.28,1130.18,545.42,225.4,130.77,89.31,43.59,29.77,28.71,23.39,29.77
11235,26.86,30.69,21.74,23.02,15.35,31.97,48.59,93.35,86.96,88.24,90.8,93.35,72.89,129.16,175.2,204.61,199.49,335.05,422.01,556.28,658.59,647.08,904.12,987.24,887.5,773.68,601.04,649.64,547.33,604.88,484.67,506.41,497.46,566.51,383.64,373.41,328.65,231.46,172.64,95.91,81.84,66.5,43.48,28.13,28.13,8.95,26.86,25.58,42.2,88.24,129.16,175.2,193.1,168.8,189.26,163.69,131.72,148.34,189.26,166.25,140.67,106.14,108.7,98.47,84.4,116.37,156.01,175.2,164.97,274.94,315.87,641.96,1561.43,2599.82,3355.6,1927.17,1084.43,546.05,285.17,153.46,92.07,51.15,34.53,26.86,39.64
11236,16.47,13.39,13.39,14.42,19.56,7.21,13.39,16.47,25.74,37.07,38.1,39.13,50.45,59.72,85.46,86.49,99.88,203.88,192.55,203.88,228.59,290.37,393.34,404.67,319.2,333.62,265.66,222.41,198.73,244.04,244.04,258.45,239.92,270.81,313.02,322.29,233.74,150.33,126.65,104,83.4,53.54,30.89,20.59,13.39,11.33,15.45,18.53,31.92,31.92,72.08,130.77,167.84,176.08,190.49,177.11,135.92,130.77,153.42,139.01,94.73,102.97,71.05,48.4,70.02,55.6,63.84,53.54,73.11,140.04,225.5,817.57,2329.14,3422.67,2915.03,1184.14,492.19,202.85,104,59.72,42.22,32.95,40.16,24.71,32.95
11237,33.33,18.75,22.92,10.42,12.5,6.25,18.75,60.42,47.92,54.17,50,89.58,62.5,85.42,162.5,127.08,175,245.83,277.08,227.08,316.66,333.33,408.33,499.99,464.58,495.83,343.75,329.16,337.5,314.58,337.5,341.66,314.58,354.16,304.16,245.83,212.5,122.92,87.5,72.92,35.42,33.33,27.08,12.5,12.5,14.58,8.33,25,54.17,43.75,102.08,147.91,150,189.58,204.16,177.08,139.58,102.08,131.25,131.25,100,122.92,122.92,91.67,54.17,91.67,129.17,112.5,137.5,191.66,272.91,1487.48,2281.22,3210.38,3529.12,1495.82,543.74,295.83,141.66,95.83,81.25,37.5,56.25,79.17,75
11238,11.2,13.07,14.94,16.81,18.67,18.67,33.61,35.48,29.88,26.14,35.48,31.75,35.48,67.23,134.46,130.72,141.93,168.07,214.76,188.61,186.75,248.37,295.06,252.11,332.41,324.94,240.9,270.78,214.76,220.36,220.36,224.1,207.29,203.55,218.49,175.54,143.79,113.92,85.9,67.23,48.55,31.75,16.81,14.94,11.2,18.67,11.2,11.2,35.48,50.42,130.72,181.14,183.01,171.81,205.42,143.79,155,164.34,160.6,126.99,128.85,84.04,72.83,63.49,65.36,113.92,179.28,149.4,158.73,194.22,339.88,1828.25,2409.03,2343.66,2310.05,1027.1,683.49,345.48,211.02,143.79,98.98,69.1,72.83,149.4,229.7
11239,53.75,15.36,15.36,30.72,7.68,15.36,0,7.68,23.04,69.11,92.15,61.43,53.75,145.9,130.55,92.15,76.79,399.32,230.37,376.28,330.2,430.03,744.88,714.16,406.99,476.11,391.64,253.41,276.45,422.35,314.84,406.99,437.71,399.32,337.88,353.24,360.92,238.05,145.9,107.51,138.22,61.43,76.79,23.04,15.36,23.04,30.72,0,38.4,61.43,153.58,238.05,176.62,222.69,291.81,207.34,168.94,138.22,168.94,238.05,222.69,176.62,215.02,61.43,46.07,69.11,53.75,69.11,130.55,161.26,322.52,1005.97,3071.65,4392.47,3747.42,1704.77,982.93,376.28,222.69,76.79,107.51,46.07,76.79,30.72,7.68
11354,25.96,9.27,9.27,20.4,24.11,11.13,16.69,22.26,40.8,22.26,38.95,33.38,27.82,55.64,105.71,105.71,116.84,202.16,222.56,300.45,244.81,382.06,513.74,454.39,458.1,419.15,333.84,285.61,341.25,370.93,372.78,487.77,476.64,445.11,487.77,346.82,296.74,181.75,85.31,44.51,68.62,16.69,20.4,24.11,20.4,16.69,20.4,7.42,12.98,22.26,42.66,63.06,74.19,94.59,76.04,57.49,79.75,96.44,103.86,81.6,155.79,102.01,109.42,57.49,51.93,50.08,57.49,79.75,114.99,198.45,267.07,541.55,1135.04,2455.54,2824.62,1576.44,851.28,421,202.16,157.64,70.48,46.37,31.53,25.96,25.96
11355,20.29,16.49,19.02,11.41,16.49,3.8,16.49,16.49,19.02,16.49,34.24,39.31,40.58,64.68,83.7,97.65,148.38,258.71,361.43,382.99,388.06,460.35,478.11,565.61,639.16,658.19,481.91,400.75,445.13,451.47,498.4,563.07,489.52,540.25,460.35,490.79,346.21,258.71,166.13,82.43,64.68,16.49,16.49,12.68,12.68,16.49,15.22,3.8,30.44,21.56,35.51,43.12,76.09,67.21,63.41,55.8,50.73,116.67,84.97,124.28,128.09,68.48,79.9,53.26,65.95,48.19,69.75,134.43,78.63,131.89,221.93,513.61,1142.63,2516.08,3213.58,1736.14,994.26,462.89,221.93,126.82,58.34,41.85,34.24,25.36,25.36
11356,56.98,21.92,30.68,17.53,26.3,21.92,35.07,30.68,17.53,52.6,74.52,61.37,87.67,96.43,140.26,184.1,249.85,359.43,333.13,433.94,341.9,666.26,578.59,565.44,653.11,539.14,433.94,438.33,425.18,490.93,455.86,473.39,385.73,543.53,486.54,368.19,276.15,179.71,175.33,179.71,96.43,52.6,35.07,26.3,4.38,8.77,26.3,43.83,13.15,17.53,83.28,87.67,127.11,131.5,127.11,87.67,127.11,122.73,135.88,100.82,87.67,157.8,113.97,74.52,43.83,52.6,109.58,131.5,127.11,245.46,363.81,609.27,1832.21,3765.23,3966.86,1599.89,942.4,486.54,184.1,131.5,70.13,30.68,35.07,17.53,35.07
11357,28.41,36.16,31,15.5,23.25,12.91,10.33,7.75,25.83,43.91,18.08,82.66,85.24,144.65,154.98,160.15,188.56,268.63,366.79,320.29,426.19,508.85,568.26,485.6,526.93,503.68,402.95,340.96,390.03,377.12,351.29,423.61,377.12,452.02,328.04,309.96,247.97,173.06,95.57,41.33,46.49,20.66,10.33,12.91,18.08,5.17,5.17,2.58,38.74,46.49,82.66,103.32,147.23,175.64,193.72,147.23,90.4,144.65,185.98,170.48,111.07,157.56,77.49,59.41,36.16,69.74,116.23,211.81,229.89,330.62,452.02,867.89,1942.41,2854.21,2337.61,1260.5,707.74,291.88,188.56,72.32,82.66,41.33,56.83,36.16,43.91
11358,16.66,5.55,11.1,0,13.88,11.1,11.1,36.09,16.66,36.09,33.31,36.09,49.97,52.74,163.78,172.1,216.52,252.61,266.48,302.57,352.54,380.3,421.93,452.47,555.18,355.31,272.04,294.24,299.8,313.67,274.81,330.33,310.9,377.52,322,302.57,194.31,138.79,77.72,72.17,38.86,11.1,8.33,2.78,0,11.1,8.33,0,33.31,24.98,36.09,66.62,91.6,105.48,122.14,83.28,80.5,88.83,111.04,155.45,130.47,88.83,72.17,58.29,49.97,80.5,97.16,147.12,166.55,322,272.04,649.56,1701.61,2950.76,2848.05,1535.06,638.45,327.55,222.07,80.5,69.4,80.5,41.64,58.29,55.52
11360,15.75,0,15.75,47.26,15.75,10.5,26.25,5.25,21,26.25,31.5,36.75,21,94.51,94.51,136.52,105.01,257.28,278.28,320.29,283.53,351.79,556.57,393.8,456.8,430.55,346.54,294.03,225.78,225.78,288.78,378.04,315.04,278.28,199.52,241.53,189.02,94.51,31.5,21,42,31.5,10.5,21,5.25,10.5,5.25,10.5,10.5,42,94.51,78.76,89.26,141.77,141.77,89.26,120.76,78.76,99.76,120.76,105.01,178.52,99.76,68.26,26.25,131.27,136.52,162.77,126.01,183.77,346.54,703.58,1522.68,2063.49,2026.74,934.61,525.06,283.53,126.01,120.76,68.26,15.75,52.51,52.51,47.26
11361,11.38,18.96,15.17,15.17,18.96,11.38,0,22.75,37.92,41.71,26.54,72.05,83.43,53.09,125.14,109.97,128.93,257.86,280.62,280.62,424.72,356.46,606.74,424.72,398.17,413.34,273.03,326.12,261.66,276.82,216.15,197.19,303.37,322.33,333.71,291.99,174.44,144.1,94.8,45.51,49.3,34.13,0,3.79,3.79,11.38,11.38,7.58,22.75,45.51,34.13,128.93,87.22,136.52,121.35,117.56,83.43,94.8,125.14,94.8,60.67,75.84,60.67,41.71,41.71,83.43,102.39,147.89,208.57,326.12,360.25,663.62,1710.24,2620.34,2517.96,1497.88,709.12,280.62,182.02,109.97,72.05,41.71,45.51,37.92,56.88
11362,22.1,16.57,11.05,11.05,11.05,0,33.15,16.57,16.57,44.19,16.57,16.57,55.24,82.87,55.24,149.16,204.4,254.12,314.89,204.4,303.84,348.03,458.52,436.42,397.75,353.56,127.06,193.35,132.58,254.12,220.97,259.64,281.74,259.64,176.78,160.21,165.73,99.44,33.15,27.62,44.19,16.57,11.05,11.05,11.05,11.05,27.62,5.52,38.67,66.29,38.67,88.39,99.44,143.63,77.34,71.82,77.34,110.49,132.58,121.54,116.01,71.82,77.34,71.82,44.19,33.15,66.29,77.34,182.3,226.5,248.6,607.68,1613.11,2182.11,2303.65,1182.21,679.49,237.55,160.21,77.34,99.44,55.24,5.52,33.15,38.67
11363,29.69,44.54,14.85,0,14.85,14.85,14.85,0,0,14.85,44.54,14.85,44.54,44.54,118.78,148.47,59.39,193.01,267.25,356.33,341.48,296.94,400.87,534.5,296.94,430.57,252.4,326.64,296.94,103.93,326.64,178.17,163.32,163.32,178.17,163.32,118.78,89.08,44.54,14.85,29.69,44.54,0,14.85,0,0,14.85,14.85,29.69,29.69,29.69,74.24,133.62,0,74.24,74.24,74.24,59.39,103.93,59.39,89.08,59.39,89.08,44.54,29.69,14.85,29.69,193.01,163.32,103.93,282.1,861.13,1618.34,2063.75,2048.9,1098.69,564.19,371.18,193.01,118.78,29.69,44.54,29.69,44.54,193.01
11364,11.21,11.21,14.01,11.21,8.41,22.42,2.8,14.01,33.62,47.63,22.42,36.43,44.83,58.84,86.86,112.08,154.11,193.34,240.98,190.54,229.77,381.08,465.14,411.9,347.45,358.66,229.77,179.33,215.76,274.6,238.17,218.56,215.76,252.18,224.16,226.97,165.32,137.3,47.63,78.46,30.82,14.01,22.42,11.21,2.8,2.8,8.41,8.41,11.21,25.22,36.43,70.05,100.87,84.06,89.67,148.51,109.28,106.48,112.08,78.46,58.84,72.85,56.04,36.43,39.23,78.46,78.46,72.85,145.71,151.31,229.77,453.93,1260.92,2507.83,2477,1272.13,770.56,271.8,156.91,98.07,64.45,42.03,53.24,50.44,47.63
11365,11.41,18.26,13.69,11.41,20.54,45.65,29.67,38.8,36.52,22.82,38.8,34.23,50.21,63.9,146.07,120.96,196.28,253.34,232.8,255.62,340.07,465.59,451.9,397.12,408.54,351.48,312.68,251.06,340.07,349.19,312.68,296.7,344.63,305.83,287.57,244.21,235.08,166.61,98.14,59.34,38.8,22.82,34.23,27.39,11.41,9.13,20.54,13.69,38.8,38.8,54.78,70.75,111.83,139.22,109.55,123.25,100.42,120.96,130.09,86.73,114.12,70.75,75.32,59.34,47.93,41.08,70.75,93.58,134.66,180.3,248.77,522.65,1615.88,2690.85,2816.38,1545.13,661.87,260.18,232.8,82.16,68.47,27.39,47.93,27.39,29.67
11366,35.19,21.11,35.19,14.08,42.23,56.31,56.31,56.31,56.31,35.19,35.19,140.76,49.27,63.34,133.73,190.03,246.34,253.38,351.91,408.22,380.06,288.57,591.21,570.1,429.33,365.99,253.38,211.15,204.11,288.57,260.41,253.38,246.34,316.72,197.07,168.92,91.5,56.31,105.57,35.19,56.31,28.15,28.15,28.15,35.19,28.15,7.04,21.11,21.11,49.27,112.61,119.65,84.46,147.8,154.84,112.61,147.8,204.11,140.76,154.84,147.8,126.69,77.42,21.11,56.31,84.46,42.23,140.76,140.76,197.07,337.83,436.37,1463.95,2491.53,2315.57,1435.8,584.17,316.72,140.76,70.38,91.5,14.08,14.08,42.23,42.23
11367,12.29,17.21,27.04,29.5,34.42,41.79,51.63,95.88,127.84,110.63,49.17,81.13,93.42,71.3,145.05,179.47,130.3,181.93,326.97,425.31,457.27,526.11,513.82,464.65,378.6,432.69,356.48,363.85,304.85,385.98,383.52,351.56,356.48,334.35,307.31,302.39,236.01,132.76,68.84,54.09,51.63,29.5,27.04,14.75,14.75,2.46,17.21,34.42,29.5,59,68.84,81.13,115.55,169.63,149.97,140.13,118.01,115.55,179.47,216.34,120.46,122.92,100.8,93.42,105.71,100.8,115.55,142.59,145.05,231.09,172.09,481.86,1649.62,3063.23,2908.35,1499.65,742.45,371.23,147.51,76.21,73.75,46.71,12.29,22.13,31.96
11368,27.18,12.68,26.28,19.93,19.03,28.09,16.31,27.18,28.99,32.62,36.24,65.24,68.86,117.79,175.77,166.71,185.74,264.57,363.32,279.06,356.08,423.12,552.69,541.81,439.43,434.9,310.77,337.95,286.31,315.3,357.89,366.95,364.23,388.69,326.18,279.06,230.14,168.52,114.16,77.92,63.42,37.15,35.34,18.12,30.81,17.21,16.31,23.56,22.65,26.28,48.02,83.36,132.28,121.41,113.26,97.85,82.45,86.98,84.26,115.97,86.07,67.05,60.71,48.02,35.34,38.96,69.77,81.54,82.45,162.18,202.05,525.51,1602.79,3756.46,3895.99,1755.92,658.69,293.56,113.26,58.89,46.21,25.37,14.5,15.4,19.03
11369,17.84,20.82,14.87,11.89,17.84,26.76,41.63,41.63,29.74,29.74,50.55,65.42,110.03,145.71,228.98,240.87,359.82,359.82,318.19,416.32,446.06,502.56,585.83,559.06,621.51,559.06,502.56,472.82,416.32,413.35,309.27,359.82,443.09,484.72,472.82,285.48,190.32,163.56,190.32,110.03,68.4,50.55,38.66,23.79,50.55,17.84,11.89,14.87,53.53,86.24,130.84,107.05,127.87,184.37,121.92,151.66,133.82,110.03,127.87,98.13,77.32,65.42,41.63,11.89,38.66,56.5,74.34,139.77,101.11,190.32,258.71,713.7,2254.09,4894.77,4591.45,1882.37,791.01,312.24,169.5,83.26,59.47,41.63,35.68,17.84,26.76
11370,15.73,31.47,34.62,22.03,15.73,18.88,12.59,18.88,40.91,47.2,44.06,103.85,84.97,138.46,166.79,154.2,236.02,232.87,311.54,314.69,374.48,516.09,563.29,462.59,512.94,424.83,399.66,368.19,387.07,434.27,380.77,311.54,415.39,415.39,365.04,298.96,191.96,100.7,116.44,81.82,84.97,22.03,22.03,37.76,9.44,9.44,15.73,25.18,22.03,31.47,31.47,72.38,72.38,173.08,166.79,185.67,84.97,135.32,103.85,163.64,173.08,129.02,72.38,91.26,53.5,62.94,78.67,103.85,125.88,201.4,276.93,638.82,1995.13,3502.5,3282.21,1400.37,575.88,286.37,91.26,75.53,40.91,28.32,18.88,25.18,31.47
11372,31.31,16.48,37.9,29.66,18.13,11.54,18.13,21.42,44.49,62.62,69.21,84.04,85.69,141.72,184.57,232.36,242.24,290.03,351.01,288.39,362.54,392.2,530.63,500.97,588.31,510.85,382.32,313.1,301.57,306.51,367.49,420.22,364.19,365.84,316.4,252.13,196.1,140.07,97.23,67.56,44.49,32.96,34.61,19.77,31.31,18.13,26.37,37.9,44.49,59.32,98.87,97.23,113.71,107.11,105.47,110.41,85.69,102.17,93.93,110.41,95.58,88.99,47.79,59.32,37.9,102.17,72.51,102.17,118.65,209.29,242.24,726.73,1987.39,4370.27,3674.85,1827.54,672.35,313.1,177.97,103.82,46.14,37.9,39.55,42.85,57.68
11373,15.27,29.46,20.73,10.91,14.18,14.18,31.64,36,32.73,56.73,49.1,76.37,53.46,120.01,257.49,186.57,236.76,393.87,346.95,346.95,327.31,454.96,615.35,566.25,478.97,518.24,373.14,398.23,353.5,392.77,397.14,385.14,412.41,429.87,334.95,288.03,212.75,140.74,89.47,63.28,46.91,39.28,24,17.46,7.64,8.73,29.46,17.46,28.37,26.18,58.92,80.74,117.83,85.1,106.92,69.83,93.83,101.47,101.47,109.1,88.37,65.46,56.73,37.1,44.73,57.83,56.73,88.37,100.38,140.74,164.75,664.44,1957.33,4243.05,4420.89,1949.69,777.91,373.14,173.48,88.37,57.83,40.37,39.28,31.64,42.55
11374,31.41,31.41,16.91,28.99,50.73,55.56,57.98,82.14,86.97,74.89,55.56,67.64,57.98,128.04,188.43,178.77,195.68,217.42,347.88,369.62,468.67,495.24,729.58,567.72,461.42,529.07,434.85,415.52,398.61,415.52,427.6,444.51,372.04,425.19,272.99,256.08,161.86,147.37,123.21,108.71,31.41,31.41,50.73,21.74,9.66,43.48,21.74,9.66,33.82,70.06,74.89,171.52,171.52,212.59,147.37,135.29,132.87,140.12,169.11,115.96,115.96,137.7,96.63,82.14,53.15,50.73,106.3,173.94,241.58,367.21,410.69,700.59,1679,3420.81,3312.09,1862.6,891.44,340.63,181.19,113.54,48.32,36.24,21.74,28.99,55.56
11375,29.47,29.47,33.68,35.08,19.64,37.89,36.48,46.31,51.92,61.74,60.34,51.92,60.34,74.37,131.9,151.54,159.96,228.72,232.93,269.41,305.89,371.84,484.1,398.5,356.41,349.39,298.88,315.72,235.73,238.54,262.4,296.07,251.17,307.3,248.36,224.51,148.74,85.59,65.95,58.93,37.89,37.89,23.85,19.64,14.03,33.68,22.45,18.24,26.66,50.51,88.4,122.08,144.53,134.71,115.06,109.45,117.87,143.12,117.87,109.45,85.59,95.42,106.64,60.34,35.08,84.19,95.42,113.66,155.75,230.12,301.68,662.3,1710.48,2579.05,2353.14,1401.78,701.59,293.27,165.58,89.8,77.18,58.93,50.51,60.34,47.71
